,polarity,date,tweet,tweet_processed,tweet_processed2
323,,2019-12-30 13:37:38+00:00,#grevegenerale #reformedesretraites #giletsjaunes bravo https://www.facebook.com/groups/277506326438568/permalink/772892790233250/?sfnsn=scwspmo,grevegenerale reformedesretraites giletsjaunes bravo https //www.facebook.com/groups/277506326438568/permalink/772892790233250/ sfnsn=scwspmo,grevegeneral reformedesretraite giletsjauner bravo https //www.facebook.com / groups/277506326438568/permalink/772892790233250/ sfnsn = scwspmo
324,,2019-12-30 13:37:10+00:00,Blocage d'un dépôt de bus RATP - Quelques tensions / Paris - France 30 d... https://youtu.be/LL5guYR7DGM #reformedesretraites #ReformeRetraite #CGT #SNCF #GiletsJaunes #greve30decembre,blocage d'un dépôt bus ratp quelques tensions paris france 30 ... https //youtu.be/ll5guyr7dgm reformedesretraites reformeretraite cgt sncf giletsjaunes greve30decembre,blocage de un dépôt bus ratp quelque tension pari france 30 ... http //youtu.be / ll5guyr7dgm reformedesretraite reformeretraite cgt sncf giletsjaun greve30decembre
325,,2019-12-30 13:34:54+00:00," Comme le soutien de la population ne faiblit pas ! la cagnotte "" le pot commun #CGT augmente ce qui prouve le soutien des Français contre la #reformedesretraites . #FiersDeLaGreve #RetraiteParPoints #GiletsJaunes #greve30decembre #France https://www.lepotcommun.fr/pot/solidarite-financiere",comme soutien population faiblit cagnotte `` pot commun cgt augmente prouve soutien français contre reformedesretraites fiersdelagreve retraiteparpoints giletsjaunes greve30decembre france https //www.lepotcommun.fr/pot/solidarite-financiere,comme soutien population faiblir cagnotte `` pot commun cgt augment prouver soutien français contrer reformedesretraite fiersdelagreve retraiteparpoint giletsjauner greve30decembre france https //www.lepotcommun.fr / pot / solidarite - financiere
326,,2019-12-30 13:30:42+00:00,Les faits me donnent raison : la #reformedesretraites n’a aucune autre raison qu’idéologique: servir les intérêts privés des fonds de pensions! Comme je l’exprimais ci dessous. Nous serons donc en grève du 3 au 6 et ce n’est qu’un début. ,faits donnent raison reformedesretraites aucune autre raison idéologique servir intérêts privés fonds pensions comme exprimais ci dessous donc grève début,fait donner raison reformedesretraiter aucun autre raison idéologique servir intérêt privé fonds pension comme exprimai ci dessous donc grever début
327,,2019-12-30 13:28:52+00:00,"Une centaine de manifestants est réunie boulevard Georges-Chauvin cet après-midi à #Évreux, devant la préfecture, pour continuer à exiger le retrait de la #réformedesretraites. ",centaine manifestants réunie boulevard georges-chauvin cet après-midi évreux devant préfecture continuer exiger retrait réformedesretraites,centain manifestant réunir boulevard george - chauvin ce après-midi évreux devoir préfecture continuer exiger retraire réformedesretraiter
328,,2019-12-30 13:27:07+00:00,"Est ce #Djebbari le secrétaire d'état, l'entrepreneur ou le pilote d'avion qui remet en cause, pendant un conflit social, la légitimité d’un syndicat représentatif ? Vous avez jusqu'au 9 janvier pour disserter #reformedesretraites #LREM #Retraites",djebbari secrétaire d'état l'entrepreneur pilote d'avion remet cause pendant conflit social légitimité syndicat représentatif jusqu'au janvier disserter reformedesretraites lrem retraites,djebbari secrétaire de état le entrepreneur piloter de avion remettre causer pendre conflit social légitimité syndicat représentatif jusque au janvier disserter reformedesretraite lrem retrait
329,,2019-12-30 13:25:48+00:00,"#Réformedesretraites : ""Si on nous dit demain l’âge pivot est retiré ou modulé, ça sera un recul de la part du gouvernement "", estime @YVeyrier, secrétaire général de #FO.",réformedesretraites `` si dit demain âge pivot retiré modulé ça recul part gouvernement `` estime yveyrier secrétaire général fo,réformedesretraiter `` si dire demain âge pivot retirer moduler ça recul partir gouvernement `` estimer yveyrier secrétaire général fo
330,,2019-12-30 13:24:33+00:00,"Le #reformedesretraites de #Macron ! C'est l'""inventaire"" de Prévert Universalité sauf..des tas de métiers En revanche, les 18 millions du privé vont le payer casch, des points et suppression de la complémentaire #ArgicArco https://amp.lepoint.fr/2355060?__twitter_impression=true",reformedesretraites macron c'est '' inventaire '' prévert universalité sauf..des tas métiers revanche 18 millions privé vont payer casch points suppression complémentaire argicarco https //amp.lepoint.fr/2355060 __twitter_impression=true,reformedesretraite macron ce être '' inventair '' prévert universalité sauf .. un tas métier revanche 18 million privé aller payer casch point suppression complémentaire argicarco https //amp.lepoint.fr/2355060 _ _ twitter_impression = true
331,,2019-12-30 13:24:25+00:00,"La première étape de la stratégie de communication du gouvernement c'était de répéter ""les régimes spéciaux"" en boucle. Maintenant c'est de parler de la CGT en disant qu'elle est radicale et ne veut pas négocier. Ça fonctionnera pas non plus. #RéformeDesRetraites #Grève30Décembre",première étape stratégie communication gouvernement c'était répéter `` régimes spéciaux '' boucle maintenant c'est parler cgt disant qu'elle radicale veut négocier ça fonctionnera non plus réformedesretraites grève30décembre,premier étape stratégie communication gouvernement ce être répéter `` régime spécial '' boucler maintenir ce être parler cgt dire que lui radical vouloir négocier ça fonctionner non plaire réformedesretraiter grève30décembre
332,,2019-12-30 13:24:02+00:00,La #reformedesretraites est 1 #reforme FOUTUE tant #Macron a créé 1 usine à gaz avec le maintien de privilèges et de regimes speciaux !!!! #politique #Cnews #bfmpolitique,reformedesretraites reforme foutue tant macron créé usine gaz maintien privilèges regimes speciaux politique cnews bfmpolitique,reformedesretraiter reformer foutre tant macron créer usiner gaz maintien privilèger regim speciaux politique cnew bfmpolitiqu
333,,2019-12-30 13:23:46+00:00,"Pk des députés, des ministres #LREM s'énervent et insultent des syndicalistes ? ""La stratégie du pourrissement, et en même temps du bordel organisé"" Retour sur 2014 et ses illusions perdues : le million, ce million qui n'est jamais venu #reformedesretraites #greve9janvier #CGT",pk députés ministres lrem s'énervent insultent syndicalistes `` stratégie pourrissement temps bordel organisé '' retour 2014 illusions perdues million million n'est jamais venu reformedesretraites greve9janvier cgt,pk député ministr lrem si énerver insulter syndicaliste `` stratégie pourrissement temps bordel organiser '' retour 2014 illusion perdu million million ne être jamais venir reformedesretraiter greve9janvier cgt
334,,2019-12-30 13:23:19+00:00,"#grevesncf #RegimesSpeciaux #SNCF #reformedesretraites #greve #greve30decembre 26e jour de grève - À la SNCF : 7,1 % de #grévistes parmi l'ensemble des salariés ; 32,5 % chez les conducteurs","grevesncf regimesspeciaux sncf reformedesretraites greve greve30decembre 26e jour grève sncf 7,1 grévistes parmi l'ensemble salariés 32,5 chez conducteurs","grevesncf regimesspeciaux sncf reformedesretraiter grev greve30decembre 26e jour grever sncf 7,1 gréviste parmi le ensemble salarié 32,5 chez conducteur"
335,,2019-12-30 13:22:11+00:00,Le taux de grévistes à la SNCF chute au plus bas depuis le 5 décembre https://www.nouvelobs.com/social/20191230.OBS22889/le-taux-de-grevistes-a-la-sncf-chute-au-plus-bas-depuis-le-5-decembre.html via @LObs #France #Strike #Grève #Réformedesretraites,taux grévistes sncf chute plus bas depuis décembre https //www.nouvelobs.com/social/20191230.obs22889/le-taux-de-grevistes-a-la-sncf-chute-au-plus-bas-depuis-le-5-decembre.html via lobs france strike grève réformedesretraites,taux grévist sncf chuter plaire bas depuis décembre http //www.nouvelobs.com / social/20191230.obs22889/le - taux - de - greviste - avoir - le - sncf - chuter - au - plaire - bas - depuis - le-5-decembre.html via lob france strike grever réformedesretraiter
336,,2019-12-30 13:21:55+00:00,"L'Orchestre de l'Opéra de Paris donnera un ""concert"" de 15 min mardi 31 déc vers 14h sur le parvis de l'Opéra Bastille, en présence de techniciens, choristes et danseurs, Contre la #reformedesretraites et pour défendre leurs valeurs artistiques #grevegenerale",l'orchestre l'opéra paris donnera `` concert '' 15 min mardi 31 déc vers 14h parvis l'opéra bastille présence techniciens choristes danseurs contre reformedesretraites défendre leurs valeurs artistiques grevegenerale,le orchestrer le opérer pari donner `` concert '' 15 min mardi 31 déc ver 14h parvis le opérer bastill présence technicien chorist danseur contrer reformedesretraite défendre leur valeur artistique grevegeneral
337,,2019-12-30 13:21:49+00:00,"[ ACTU / INTERVIEW ] «Le gouvernement est tellement convaincu de son projet qu’il écoute assez peu ce qu’on lui dit», a déploré @YVeyrier #FO #FranceInfo ""J'appelle le gouvernement à revenir à la sagesse"" #reformedesretraites #Retraites https://www.lefigaro.fr/flash-eco/j-appelle-le-gouvernement-a-revenir-a-la-sagesse-yves-veyrier-fo-20191230 @Le_Figaro",actu interview gouvernement tellement convaincu projet écoute assez peu dit déploré yveyrier fo franceinfo `` j'appelle gouvernement revenir sagesse '' reformedesretraites retraites https //www.lefigaro.fr/flash-eco/j-appelle-le-gouvernement-a-revenir-a-la-sagesse-yves-veyrier-fo-20191230 le_figaro,actu interview gouvernemer tellement convaincre projet écouter assez peu dire déplorer yveyrier fo franceinfo `` il appeler gouvernement revenir sagess '' reformedesretraite retrait https //www.lefigaro.fr / flash - eco / j - appeler - le - gouvernement - avoir - revenir - avoir - le - sagess - yve - veyrier - fo-20191230 le_figaro
338,,2019-12-30 13:20:31+00:00,"""N'intervenez pas dans le débat"" : intolérance ""Terrorisme verbal"" : indécence ""Vous êtes des alliés objectifs"" : médisance ""Domination physique par la parole"" : non sens France 2019, une autre idée du progressisme : outrance et décadence #reformedesretraites #greve30decembre",`` n'intervenez débat '' intolérance `` terrorisme verbal '' indécence `` alliés objectifs '' médisance `` domination physique parole '' non sens france 2019 autre idée progressisme outrance décadence reformedesretraites greve30decembre,`` ne intervenir débattre '' intolérance `` terrorisme verbal '' indécence `` allié objectif '' médisance `` domination physique parole '' non sentir france 2019 autre idée progressisme outrance décadenc reformedesretraiter greve30decembre
