,state,numcol,yieldpercol,yieldpercol_kg,totalprod,totalprod_kg,totalprod_to,stocks,stocks_to,priceperlb,priceperkg,pricepertonne,prodvalue,year,StateName,Region,FIPS,CLOTHIANIDIN,IMIDACLOPRID,THIAMETHOXAM,ACETAMIPRID,THIACLOPRID,AllNeonic
10,AL,12000.0,87,39.46253619,1044000.0,473550.43428000004,473.55043428,282000.0,127.91304834,1.41,3.1085178968067737,3108.517896806774,1472000.0,2004,Alabama,South,1,2676.4,1323.9,3863.9,0.0,0.0,7864.2
11,AL,13000.0,66,29.937096420000003,858000.0,389182.25346000004,389.18225345999997,266000.0,120.65557042,1.02,2.248715074285751,2248.7150742857516,875000.0,2005,Alabama,South,1,1503.6,994.5,5493.9,0.0,0.0,7992.0
12,AL,13000.0,82,37.19457434,1066000.0,483529.46642,483.52946642,43000.0,19.50447191,1.24,2.7337320510924816,2733.732051092482,1322000.0,2003,Alabama,South,1,0.0,668.3,591.7,0.0,0.0,1260.0
13,AL,14000.0,73,33.11224301,1022000.0,463571.40214,463.57140214,235000.0,106.59420695,0.72,1.5873282877311183,1587.3282877311185,736000.0,2001,Alabama,South,1,0.0,1490.8,0.0,0.0,0.0,1490.8
14,AL,16000.0,71,32.20505827,1136000.0,515280.93232,515.28093232,159000.0,72.12118683,0.72,1.5873282877311183,1587.3282877311185,818000.0,1998,Alabama,South,1,0.0,1836.3,0.0,0.0,0.0,1836.3
15,AL,16000.0,78,35.38020486,1248000.0,566083.2777600001,566.08327776,187000.0,84.82177319,0.59,1.3007273468907776,1300.7273468907777,736000.0,2000,Alabama,South,1,0.0,1499.2,0.0,0.0,0.0,1499.2
16,AL,17000.0,68,30.84428116,1156000.0,524352.77972,524.35277972,185000.0,83.91458845,0.56,1.2345886682353144,1234.5886682353146,647000.0,1999,Alabama,South,1,0.0,1251.2,0.0,0.0,0.0,1251.2
17,AL,7000.0,45,20.41165665,315000.0,142881.59655000002,142.88159654999998,22000.0,9.97903214,2.77,6.1068046625211085,6106.804662521109,873000.0,2017,Alabama,South,1,,,,,,
18,AL,7000.0,47,21.31884139,329000.0,149231.88973,149.23188973,13000.0,5.89670081,3.83,8.443704641680812,8443.704641680812,1260000.0,2015,Alabama,South,1,56.2,10919.3,1101.6,0.0,0.0,12077.1
19,AL,7000.0,52,23.586803240000002,364000.0,165107.62268,165.10762268,33000.0,14.96854821,3.45,7.605948045378277,7605.948045378277,1256000.0,2016,Alabama,South,1,,,,,,
20,AL,7000.0,52,23.586803240000002,364000.0,165107.62268,165.10762268,55000.0,24.94758035,2.85,6.283174472269011,6283.174472269012,1037000.0,2013,Alabama,South,1,5992.9,8284.4,5202.0,0.0,0.0,19479.3
21,AL,7000.0,53,24.04039561,371000.0,168282.76927000002,168.28276927,26000.0,11.79340162,3.53,7.782317855126178,7782.317855126178,1310000.0,2014,Alabama,South,1,7971.6,12194.1,4745.4,0.0,0.0,24911.1
22,AL,8000.0,54,24.49398798,432000.0,195951.90384,195.95190384,65000.0,29.48350405,2.47,5.445417875966476,5445.4178759664765,1067000.0,2012,Alabama,South,1,4797.8,6249.1,7002.6,0.0,0.0,18049.5
23,AL,9000.0,50,22.6796185,450000.0,204116.56650000002,204.1165665,63000.0,28.57631931,2.51,5.533602780840426,5533.602780840427,1130000.0,2011,Alabama,South,1,10106.1,5229.8,7148.1,0.0,0.0,22484.0
24,AL,9000.0,50,22.6796185,450000.0,204116.56650000002,204.1165665,68000.0,30.844281159999998,1.86,4.100598076638723,4100.598076638723,837000.0,2009,Alabama,South,1,5087.2,3991.9,4076.2,0.0,0.0,13155.3
25,AL,9000.0,54,24.49398798,486000.0,220445.89182000002,220.44589181999999,73000.0,33.11224301,2.4,5.291094292437061,5291.094292437062,1166000.0,2010,Alabama,South,1,1914.0,1757.0,4658.3,0.0,0.0,8329.3
26,AL,9000.0,66,29.937096420000003,594000.0,269433.86778000003,269.43386778,214000.0,97.06876718,1.9,4.188782981512674,4188.782981512674,1129000.0,2008,Alabama,South,1,1598.3,3296.6,4214.5,0.0,0.0,9109.4
27,AR,40000.0,84,38.10175908,3360000.0,1524070.3632,1524.0703632,336000.0,152.40703632,0.85,1.8739292285714593,1873.9292285714594,2856000.0,1996,Arkansas,South,5,0.0,493.6,0.0,0.0,0.0,493.6
28,AR,45000.0,65,29.48350405,2925000.0,1326757.68225,1326.75768225,410000.0,185.97287169999998,0.52,1.1464037633613633,1146.4037633613634,1521000.0,1992,Arkansas,South,5,,,,,,
29,AR,47000.0,79,35.83379723,3713000.0,1684188.4698100002,1684.18846981,557000.0,252.65095008999998,0.54,1.190496215798339,1190.496215798339,2005000.0,1991,Arkansas,South,5,,,,,,
30,AR,50000.0,60,27.2155422,3000000.0,1360777.11,1360.77711,900000.0,408.233133,0.71,1.5652820615126306,1565.282061512631,2130000.0,1995,Arkansas,South,5,0.0,11115.6,0.0,0.0,0.0,11115.6
31,AR,50000.0,71,32.20505827,3550000.0,1610252.9135,1610.2529135,817000.0,370.58496629,0.51,1.1243575371428756,1124.3575371428758,1811000.0,1994,Arkansas,South,5,,,,,,
32,AR,50000.0,73,33.11224301,3650000.0,1655612.1505,1655.6121504999999,548000.0,248.56861876,0.5,1.1023113109243878,1102.311310924388,1825000.0,1993,Arkansas,South,5,,,,,,
33,AR,50000.0,95,43.09127515,4750000.0,2154563.7575000003,2154.5637575,3468000.0,1573.05833916,0.7,1.5432358352941429,1543.235835294143,3325000.0,1997,Arkansas,South,5,0.0,2353.7,0.0,0.0,0.0,2353.7
34,AR,21000.0,65,29.48350405,1365000.0,619153.58505,619.15358505,137000.0,62.14215469,2.04,4.497430148571502,4497.430148571503,2785000.0,2014,Arkansas,South,5,15202.6,17066.9,23805.3,692.1,0.0,56766.9
35,AR,22000.0,60,27.2155422,1320000.0,598741.9284,598.7419284,66000.0,29.93709642,2.02,4.453337696134527,4453.3376961345275,2666000.0,2013,Arkansas,South,5,17338.3,17309.0,23873.8,0.0,0.0,58521.1
36,AR,22000.0,64,29.02991168,1408000.0,638658.0569600001,638.65805696,239000.0,108.40857643,1.62,3.5714886473950167,3571.4886473950173,2281000.0,2011,Arkansas,South,5,5894.4,15162.1,33501.0,2874.3,0.0,57431.8
37,AR,24000.0,57,25.85476509,1368000.0,620514.36216,620.51436216,301000.0,136.53130337,1.42,3.130564123025261,3130.564123025262,1943000.0,2009,Arkansas,South,5,4346.9,10079.4,21186.5,349.1,0.0,35961.9
38,AR,24000.0,69,31.29787353,1656000.0,751148.96472,751.14896472,99000.0,44.90564463,1.85,4.078551850420236,4078.5518504202355,3064000.0,2016,Arkansas,South,5,,,,,,
39,AR,24000.0,72,32.658650640000005,1728000.0,783807.61536,783.80761536,121000.0,54.88467677,2.06,4.541522601008478,4541.522601008478,3560000.0,2015,Arkansas,South,5,1070.4,5235.9,5373.0,748.0,0.0,12427.3
40,AR,25000.0,60,27.2155422,1500000.0,680388.555,680.388555,360000.0,163.2932532,1.47,3.2407952541177,3240.7952541177006,2205000.0,2010,Arkansas,South,5,3544.8,9049.8,21468.2,902.7,0.0,34965.5
41,AR,25000.0,63,28.576319310000002,1575000.0,714407.9827500001,714.40798275,189000.0,85.72895792999999,1.98,4.365152791260575,4365.152791260576,3119000.0,2012,Arkansas,South,5,4939.2,12508.7,33718.9,59.7,0.0,51226.5
42,AR,28000.0,75,34.01942775,2100000.0,952543.9770000001,952.5439769999999,525000.0,238.13599424999998,1.35,2.9762405394958473,2976.2405394958478,2835000.0,2008,Arkansas,South,5,2168.9,9093.8,25102.8,995.7,0.0,37361.2
43,AR,28000.0,80,36.287389600000004,2240000.0,1016046.9088000001,1016.0469088,672000.0,304.81407264,0.95,2.094391490756337,2094.391490756337,2128000.0,2007,Arkansas,South,5,209.8,12750.1,17475.5,1277.4,0.0,31712.8
44,AR,29000.0,77,34.926612490000004,2233000.0,1012871.7622100001,1012.8717622099999,223000.0,101.15109851,1.91,4.2108292077311615,4210.829207731162,4265000.0,2017,Arkansas,South,5,,,,,,
45,AR,32000.0,76,34.47302012,2432000.0,1103136.64384,1103.13664384,730000.0,331.1224301,0.89,1.9621141334454104,1962.1141334454105,2164000.0,2006,Arkansas,South,5,1518.4,7036.6,20647.9,4686.6,0.0,33889.5
46,AR,36000.0,69,31.29787353,2484000.0,1126723.44708,1126.72344708,571000.0,259.00124327,0.97,2.1384839431933123,2138.4839431933124,2409000.0,2005,Arkansas,South,5,2458.3,6902.1,7310.4,981.2,0.0,17652.0
47,AR,40000.0,57,25.85476509,2280000.0,1034190.6036,1034.1906036,388000.0,175.99383956,0.87,1.918021681008435,1918.021681008435,1984000.0,2004,Arkansas,South,5,530.9,11941.3,9368.6,3312.4,0.0,25153.2
48,AR,40000.0,75,34.01942775,3000000.0,1360777.11,1360.77711,810000.0,367.4098197,1.26,2.7778245035294575,2777.8245035294576,3780000.0,2003,Arkansas,South,5,0.0,3266.6,2280.0,20.8,0.0,5567.4
49,AR,45000.0,88,39.916128560000004,3960000.0,1796225.7852,1796.2257852,871000.0,395.07895427,1.26,2.7778245035294575,2777.8245035294576,4990000.0,2002,Arkansas,South,5,0.0,1306.7,1462.0,107.9,0.0,2876.6
50,AR,50000.0,98,44.45205226,4900000.0,2222602.613,2222.602613,1617000.0,733.45886229,0.65,1.4330047042017042,1433.0047042017043,3185000.0,2001,Arkansas,South,5,0.0,2884.8,684.9,0.0,0.0,3569.7
51,AR,52000.0,89,40.36972093,4628000.0,2099225.4883600003,2099.22548836,2592000.0,1175.71142304,0.53,1.1684499895798512,1168.4499895798513,2453000.0,1999,Arkansas,South,5,0.0,692.2,0.0,0.0,0.0,692.2
52,AR,52000.0,93,42.18409041,4836000.0,2193572.70132,2193.57270132,3337000.0,1513.6377386899999,0.57,1.256634894453802,1256.6348944538022,2757000.0,2000,Arkansas,South,5,0.0,844.0,81.2,0.0,0.0,925.2
53,AR,53000.0,65,29.48350405,3445000.0,1562625.71465,1562.62571465,1688000.0,765.66392056,0.59,1.3007273468907776,1300.7273468907777,2033000.0,1998,Arkansas,South,5,0.0,1262.3,0.0,0.0,0.0,1262.3
54,AZ,32000.0,60,27.2155422,1920000.0,870897.3504,870.8973503999999,307000.0,139.25285759,0.85,1.8739292285714593,1873.9292285714594,1632000.0,1996,Arizona,West,4,0.0,6156.9,0.0,0.0,0.0,6156.9
55,AZ,42000.0,80,36.287389600000004,3360000.0,1524070.3632,1524.0703632,1344000.0,609.62814528,0.72,1.5873282877311183,1587.3282877311185,2419000.0,1997,Arizona,West,4,0.0,10204.2,0.0,0.0,0.0,10204.2
56,AZ,47000.0,59,26.761949830000002,2773000.0,1257811.64201,1257.81164201,166000.0,75.29633342,0.51,1.1243575371428756,1124.3575371428758,1414000.0,1994,Arizona,West,4,0.0,2653.2,0.0,0.0,0.0,2653.2
57,AZ,52000.0,79,35.83379723,4108000.0,1863357.4559600002,1863.35745596,986000.0,447.24207681999997,0.65,1.4330047042017042,1433.0047042017043,2670000.0,1995,Arizona,West,4,0.0,8260.6,0.0,0.0,0.0,8260.6
58,AZ,55000.0,77,34.926612490000004,4235000.0,1920963.68695,1920.96368695,932000.0,422.74808884,0.52,1.1464037633613633,1146.4037633613634,2202000.0,1993,Arizona,West,4,,,,,,
59,AZ,70000.0,54,24.49398798,3780000.0,1714579.1586000002,1714.5791586,1285000.0,582.86619545,0.55,1.2125424420168267,1212.5424420168267,2079000.0,1992,Arizona,West,4,,,,,,
60,AZ,75000.0,50,22.6796185,3750000.0,1700971.3875000002,1700.9713875,750000.0,340.1942775,0.53,1.1684499895798512,1168.4499895798513,1988000.0,1991,Arizona,West,4,,,,,,
61,AZ,20000.0,52,23.586803240000002,1040000.0,471736.06480000005,471.7360648,562000.0,254.91891194,1.45,3.1967028016807246,3196.702801680725,1508000.0,2009,Arizona,West,4,266.0,9309.2,526.1,1246.8,0.0,11348.1
62,AZ,22000.0,40,18.143694800000002,880000.0,399161.2856,399.1612856,97000.0,43.99845989,1.96,4.3210603388236,4321.0603388236,1725000.0,2017,Arizona,West,4,,,,,,
63,AZ,22000.0,46,20.86524902,1012000.0,459035.47844000004,459.03547843999996,253000.0,114.75886960999999,1.79,3.946274493109309,3946.274493109309,1811000.0,2012,Arizona,West,4,2036.4,10907.6,759.2,1535.1,0.0,15238.3
64,AZ,23000.0,53,24.04039561,1219000.0,552929.09903,552.92909903,427000.0,193.68394199,1.55,3.4171650638656024,3417.165063865603,1889000.0,2011,Arizona,West,4,1188.3,15866.7,2721.0,1134.2,0.0,20910.2
65,AZ,24000.0,77,34.926612490000004,1848000.0,838238.69976,838.23869976,665000.0,301.63892605,1.52,3.351026385210139,3351.0263852101393,2809000.0,2010,Arizona,West,4,921.7,9530.3,1225.3,857.7,0.0,12535.0
